Time,Frequency,Amplitude,ADC,Level
[2025-08-07 18:14:36.474],387097.2,6.2661,2192, 1.766V
[2025-08-07 18:14:36.482],387329.1,4.0132,1876, 1.512V
[2025-08-07 18:14:36.482],387561,5.6206,2247, 1.811V
[2025-08-07 18:14:36.482],387793,2.2057,1863, 1.501V
[2025-08-07 18:14:36.482],388024.9,4.4961,2167, 1.746V
[2025-08-07 18:14:36.482],388256.8,4.4431,1982, 1.597V
[2025-08-07 18:14:36.482],388488.8,4.0943,2001, 1.613V
[2025-08-07 18:14:36.483],388720.7,3.3958,2160, 1.741V
[2025-08-07 18:14:36.483],388952.6,5.4429,1844, 1.486V
[2025-08-07 18:14:36.483],389184.6,3.4189,2276, 1.834V
[2025-08-07 18:14:36.483],389416.5,5.1794,1799, 1.450V
[2025-08-07 18:14:36.483],389648.4,3.811,2256, 1.818V
[2025-08-07 18:14:36.483],389880.4,5.7574,1888, 1.521V
[2025-08-07 18:14:36.483],390112.3,9.0511,2100, 1.692V
[2025-08-07 18:14:36.483],390344.2,2.3017,2039, 1.643V
[2025-08-07 18:14:36.483],390576.2,5.7425,1926, 1.552V
[2025-08-07 18:14:36.483],390808.1,3.2708,2199, 1.772V
[2025-08-07 18:14:36.483],391040,4.0797,1815, 1.463V
[2025-08-07 18:14:36.503],391272,3.9579,2247, 1.811V
[2025-08-07 18:14:36.503],391503.9,5.0351,1846, 1.488V
[2025-08-07 18:14:36.503],391735.8,5.2609,2183, 1.759V
[2025-08-07 18:14:36.503],391967.8,4.0873,1974, 1.591V
[2025-08-07 18:14:36.503],392199.7,2.8079,2023, 1.630V
[2025-08-07 18:14:36.503],392431.6,3.588,2100, 1.692V
[2025-08-07 18:14:36.503],392663.6,1.6797,1908, 1.538V
[2025-08-07 18:14:36.503],392895.5,4.1616,2167, 1.746V
[2025-08-07 18:14:36.503],393127.4,6.9914,1888, 1.521V
[2025-08-07 18:14:36.503],393359.4,3.8888,2148, 1.731V
[2025-08-07 18:14:36.503],393591.3,3.1294,1956, 1.576V
[2025-08-07 18:14:36.504],393823.2,9.8653,2086, 1.681V
[2025-08-07 18:14:36.504],394055.2,2.0835,2016, 1.625V
[2025-08-07 18:14:36.504],394287.1,6.105,2023, 1.630V
[2025-08-07 18:14:36.504],394519,4.3173,2068, 1.667V
[2025-08-07 18:14:36.504],394751,3.335,1990, 1.604V
[2025-08-07 18:14:36.504],394982.9,2.4819,2100, 1.692V
[2025-08-07 18:14:36.519],395214.8,6.3867,1972, 1.589V
[2025-08-07 18:14:36.519],395446.8,2.4752,2087, 1.682V
[2025-08-07 18:14:36.519],395678.7,4.2822,1975, 1.592V
[2025-08-07 18:14:36.519],395910.7,1.1679,2071, 1.669V
